userId;tstamp;movieId;predictedRating
377084;1677651051;296;462638609858560
377084;1677651051;55820;434364169060352
377084;1677651051;924;430338543190016
377084;1677651051;1732;42554162675712
377084;1677651051;1258;424126913183744
377084;1677651051;1201;421599761137664
377084;1677651051;2730;434240755859456
377084;1677651051;1204;423635542081536
357819;1677654979;277028;495261302390784
357819;1677654979;220528;5
357819;1677654979;183423;480602713227264
357819;1677654979;348;5
357819;1677654979;41627;5
357819;1677654979;176423;474909935403008
357819;1677654979;275083;479936758415360
357819;1677654979;5373;48495239102464
357819;1677654983;277028;495261302390784
357819;1677654983;220528;5
357819;1677654983;183423;480602713227264
357819;1677654983;348;5
357819;1677654983;41627;5
357819;1677654983;176423;474909935403008
357819;1677654983;275083;479936758415360
357819;1677654983;5373;48495239102464
381210;1677655623;1230;487913720643584
381210;1677655623;6818;474838565126144
381210;1677655623;159817;468485939396608
381210;1677655623;2019;45901787693056
381210;1677655623;26082;476055718592512
381210;1677655623;1203;45518893875200
381210;1677655623;171011;466007407722496
381210;1677655623;1095;463679669665792
262961;1677656506;151113;5
262961;1677656506;114342;493458389204992
262961;1677656506;7486;5
262961;1677656506;202237;479603663568896
262961;1677656506;120625;487633876680704
262961;1677656506;250010;464767135252480
262961;1677656506;202749;466643499089920
262961;1677656506;27366;494618164592640
362847;1677657407;5618;376149007925248
362847;1677657407;60069;362356357988352
362847;1677657407;109374;359156674461696
362847;1677657407;6539;345190145458176
362847;1677657407;293;379555420307456
362847;1677657407;5418;363453453697024
362847;1677657407;81834;34989953515520
362847;1677657407;76093;357763494445056
314996;1677657608;100714;448427804590080
314996;1677657608;168250;4299947769856
314996;1677657608;135133;433975440965632
314996;1677657608;92259;426901931819008
314996;1677657608;228099;433123124838400
314996;1677657608;193950;434707162464256
314996;1677657608;202749;431047581892608
314996;1677657608;213397;426333083533312
151147;1677657719;159817;419046101090304
151147;1677657719;171011;424149562425344
151147;1677657719;170705;412568451547136
151147;1677657719;1148;416599278354432
151147;1677657719;198185;413853015867392
151147;1677657719;171495;424871385366528
151147;1677657719;160289;426870323544064
151147;1677657719;78039;409738906959872
151147;1677658202;159817;41907468107776
151147;1677658202;171011;424178150801408
151147;1677658202;170705;41259699798016
151147;1677658202;1148;416627833176064
151147;1677658202;198185;413881570689024
151147;1677658202;171495;424899973742592
151147;1677658202;160289;426898911920128
151147;1677658202;78039;409767461781504
386249;1677658224;208703;448977493295104
386249;1677658224;275243;450438553927680
386249;1677658224;1307;455125403435008
386249;1677658224;7327;5
386249;1677658224;205156;444240245030912
386249;1677658224;210861;443565868056576
386249;1677658224;203375;442237716529152
386249;1677658224;6586;444709503762432
386249;1677659243;208703;448977493295104
386249;1677659243;275243;450438553927680
386249;1677659243;1307;455125403435008
386249;1677659243;7327;5
386249;1677659243;205156;444240245030912
386249;1677659243;210861;443565868056576
386249;1677659243;203375;442237716529152
386249;1677659243;6586;444709503762432
333261;1677659959;274053;405127387152384
333261;1677659959;7153;394754571370496
333261;1677659959;1221;408559971991552
333261;1677659959;3147;394915800416256
333261;1677659959;110;395943841103872
333261;1677659959;92259;388538713505792
333261;1677659959;5995;385368188780544
333261;1677659959;210861;396212645658624
289006;1677662227;27156;386021560680448
289006;1677662227;288;384386520317952
289006;1677662227;1214;371051116625920
289006;1677662227;26082;380250903019520
